description,group_old,group,link,type,username,userPic,media,caption,rand,verified
,,srp,https://news.sky.com/video/pro-palestinian-group-damages-military-aircraft-after-breaking-in-to-raf-brize-norton-13386090,video,skynews,skynews.jpg,sky_raf.mp4,"Pro-Palestinian group damages military aircraft after 'breaking in' to RAF Brize Norton
In a video shared online, a person can be seen approaching an aircraft on a scooter. Red paint can be seen on the ground.",0.862602317,TRUE
,,srp,https://www.bbc.co.uk/news/articles/c1rrzp1qwp1o,carousel,bbc,bbc.jpg,bbc_sts02.webp;bbc_sts03.webp;bbc_sts04.webp,"Barclays branches across UK targeted by protesters

Barclays bank branches in England and Scotland have been covered in red paint and had windows smashed as part of protests by a pro-Palestine group.

Up to 20 buildings have been targeted, according to the group Palestine Action.

It said the protests were carried out to ""demand the bank divests from Israel's weapons trade and fossil fuels"".

A spokesperson for Barclays said: ""While we support the right to protest, we ask that campaigners do so in a way which respects our customers, colleagues and property.”

In Bristol, the windows of a city centre branch of Barclays Bank were smashed and red graffiti sprayed over the building.

Meanwhile, in Edinburgh, rocks inscribed with the names of Palestinians killed in the conflict were thrown at a Barclays building, the protesters said.

City of London police said three men, aged between 34 and 45, had been arrested in connection with criminal damage at the Barclays on Moorgate on Monday morning.

It is one of several branches in the capital to have been targeted.

Among them were ones in St John’s Wood, north London, Croydon, Richmond, south-west London, and Peckham and Croydon in south London.

Meanwhile, branches in Stockport and Bury, both in Greater Manchester, and Preston, Lancashire, have been adorned in red paint and damaged.

The protesters also struck in Glasgow, Brighton, Exeter, Sheffield, Northampton, Birmingham and Solihull, Palestine Action said.

Shut the System, a recently launched underground climate movement, partnered with Palestine Action's underground division to launch the attacks, both activist groups confirmed.

According to the groups, targeted actions will continue until Barclays stops investing in certain companies.

A spokesperson for Barclays said the bank ""provides vital financial services to US, UK and European public companies that supply defence products to NATO and its allies"".

""The defence sector is fundamental to our national security and the UK government has been clear that supporting defence companies is compatible with ESG considerations,"" the spokesperson added.

""Decisions on the implementation of arms embargos to other nations are the job of respective elected governments.”

During its 7 October attacks in southern Israel, Hamas killed about 1,200 people and took some 251 people hostage.

Some 116 remain in the Palestinian territory, including 41 the army says are dead.

On Saturday, the Hamas-run health ministry said the death toll in Gaza stood at 37,084 people.",0.30100742,TRUE
,,lrc,https://www.dailymail.co.uk/news/article-6921195/Environmental-protesters-threaten-shut-London-blocking-traffic.html,carousel,dailymail,dailymail.jpg,dailymail_xr02.jpg;dailymail_xr03.jpg,"Thousands of eco-activists start to descend on London to 'shut down' the capital and cause misery for millions of commuters

Environmental protesters will converge at five locations in London today to cause disruption, block roads and 'shut down the city'.

Activists, known as earth marchers, have been making their way in to central London for weeks for the 'International Rebellion'. 

And many were encouraged to illegally camp in Hyde Park overnight so they can 'come together, form relationships, consolidate plans, and gear up for the days ahead,' according to campaign group Extinction Rebellion. ",0.221284447,TRUE
,,lrc,https://www.dailymail.co.uk/news/article-6923023/Thousands-eco-warriors-pour-London-bring-city-standstill.html,carousel,dailymail,dailymail.jpg,dailymail_xrbig01.jpg;dailymail_xrbig02.jpg;dailymail_xrbig03.jpg;dailymail_xrbig04.jpg;dailymail_xrbig05.jpg;dailymail_xrbig06.jpg;dailymail_xrbig07.jpg;dailymail_xrbig08.jpg;dailymail_xrbig09.jpg;dailymail_xrbig10.jpg;dailymail_xrbig11.jpg;dailymail_xrbig12.jpg;dailymail_xrbig13.jpg;dailymail_xrbig14.mp4;dailymail_xrbig15.mp4;dailymail_xrbig16.mp4,"Londoners brace for second day of climate protest chaos: Extinction Rebellion eco-warriors camp out before unleashing more threatened ‘direct action’ on weary commuters after 52 of their group were arrested on Monday

London is braced for another day of climate change protests today from demonstrators, including some who sent the night in tents in the city's parks, after a day of disruption yesterday from protesters who targeted busy thoroughfares.

Close to fifty people were arrested as police attempted to move on protesters who spent yesterday blocking roads and demonstrating outside tube stations, following five arrests outside Shell's headquarters where they glued themselves to windows and smashed glass doors.


Some activists glued themselves to the windows and smashed glass revolving doors at Shell's headquarters near Waterloo, while others spray-painted graffiti and hung banners on the building.

Workers returning home from areas around Waterloo Bridge, Oxford Circus, Marble Arch and Piccadilly Circus faced being unable to get through by road to Underground stations thanks to the Extinction Rebellion protests.

At around 7pm police started arresting protesters still to be found on Waterloo Bridge, after police issued an order under the Public Order Act telling demonstrators to limit their protest to the area around Marble Arch. ",0.045967522,TRUE
,,lrc,https://www.dailymail.co.uk/news/article-6926875/Londoners-rage-second-day-Extinction-Rebellion-action.html,carousel,dailymail,dailymail.jpg,dailymail_xrarre04.mp4;dailymail_xrarre01.jpg;dailymail_xrarre02.mp4;dailymail_xrarre03.mp4,"Eco-warriors vow to bring the Tube to a standstill TODAY: Commuters face rush hour chaos this morning as climate activists now threaten the London Underground - after 290 were arrested in two days

Almost 300 people have been arrested in London in connection with ongoing climate change protests, with organisers now vowing to escalate their disruption to target the London Underground tomorrow.

As the second day of coordinated protests at five London locations drew to a close, groups of police officers continued to lift activists off the ground and manhandle them away from demonstrations at Oxford Circus and Waterloo Bridge having issued Section 14 notices ordering crowds to disperse.

Earlier, organisers Extinction Rebellion called on more protesters to flood onto the bridge help with their stand-off, which police said had shut down 55 bus routes and inconvenienced 500,000 people's journeys. ",0.024903078,TRUE
,,lrc,https://www.dailymail.co.uk/news/article-6936093/How-eco-mob-plotted-chaos-London-vegetarian-caf-Stroud.html,video,dailymail,dailymail.jpg,dailymail_xrarre03.mp4,,0.636521117,TRUE
,,lrc,https://www.dailymail.co.uk/news/article-6946489/Climate-change-protesters-split-continue-demos.html,carousel,dailymail,dailymail.jpg,dailymail_xrnat01.jpg;dailymail_xrnat02.jpg;dailymail_xrnat03.jpg;dailymail_xrnat04.jpg;dailymail_xrnat05.jpg;dailymail_xrnat06.jpg;dailymail_xrnat07.mp4,"Now climate change activists stage a 'DIE IN' at the Natural History Museum as group threatens to escalate protests by targeting government buildings and businesses

Climate protesters have now taken over the main hall of the Natural History Museum in their latest stunt of two weeks of demonstrations.

More than 100 activists lay on the floor of the famous museum this afternoon on a day which was supposed to be a 'pause' from their occupation of bridges and important locations in the capital.

It came as the leader of the Extinction Rebellion movement has said she is favour of escalating the protests this week.",0.239179725,TRUE
,,lrc,https://www.dailymail.co.uk/news/article-6989855/Ten-Extinction-Rebellion-activists-aged-16-20-lock-railings-Parliament.html,carousel,dailymail,dailymail.jpg,dailymail_xryouth01.jpg;dailymail_xryouth02.jpg;dailymail_xryouth03.jpg;dailymail_xryouth04.jpg;dailymail_xryouth05.mp4,"Group of 10 eco-activists aged 16 to 20 lock themselves to Parliament railings with banner stating 'our futures are chained to your actions'

A group of ten young eco-activists have chained themselves to railings outside Parliament this afternoon with a banner stating 'our futures are chained to your actions.'   

The protestors, aged between 16 and 20, are from the youth wing of Extinction Rebellion. Their action comes after independent candidates in the European elections glued themselves to the doors of City Hall earlier today.   
All of the ten young climate change activists attached themselves to the London railings using bike locks around their necks. Some had megaphones and were calling on the government to take action. ",0.932741558,TRUE
,,,https://www.fwi.co.uk/farm-life/farmers-and-pink-tractor-to-join-london-climate-change-rally,carousel,farmersweekly,farmersweekly.jpg,farmers_01.jpeg;farmers_02.jpg;farmers_03.jpeg,"Farmers and pink tractor to join London climate change rally
Environmental activists and farmers may seem unusual allies, but a group is preparing to bring a bright pink tractor to a London demonstration demanding urgent action on climate change.

Inspired by the Extinction Rebellion pink boat, which blocked Oxford Circus in central London for five days during April, a team of farmers has painted a John Deere tractor an eye-catching colour to share positive farming messages with the public.

On 7 October the group, called Extinction Rebellion Farmers, will drive their biodiesel-powered John Deere 3350 into Westminster as part of a two-week worldwide rally in 60 major cities including Paris, New York and Delhi.",0.656992775,FALSE
,,srp,https://www.gbnews.com/news/london-palestine-activists-red-paint-protest-met-police-israel-gaza,carousel,gbnews,gbnews.jpg,gbnews_palpaint01.mp4;gbnews_palpaint02.webp,"Palestine activists hurl red paint over London building and climb onto entrance roof - police on scene

A group of pro-Palestine activists have occupied a building in central London after throwing red paint over its entrance and covering it in graffiti.

""Palestine Action"" targeted One Eagle Place, Piccadilly, which is home to the offices of Leonardo UK - a defence and security firm.

The group accused the company of bing ""suppliers of weaponry for Israel's fighter jets"".

It added: ""106 years ago today, Britain signed away the land of Palestine.",0.769974901,TRUE
,,smp,https://www.inminds.com/article.php?id=10621,carousel,inminds,inminds.png,inminds_vigil01.jpg;inminds_vigil02.jpg;inminds_vigil03.jpg;inminds_vigil04.jpg,"London Vigil delivers letter from Gaza mother to PA demanding release of Gaza fuel
On Wednesday 13th November 2013, a dozen human rights activists held a vigil, organised by the campaign group Inminds.com, outside the Palestinian Mission in London to protest against the barbaric siege imposed on the Gaza strip and in particular the Palestinian Authority's role in the current fuel crisis which has left Gaza without electricity for 18 hours a day. They delivered a letter from a Palestinian mother from Gaza to the Palestinian Authority (PA) demanding that the PA release the fuel provided by the EU for Gaza.",0.379284109,FALSE
,,lrc,https://www.instagram.com/p/B_ITmXmnR2N/,carousel,kirk_protest_london,kirk_protest_london.jpg,B_ITmXmnR2N_0.jpg;B_ITmXmnR2N_1.jpg;B_ITmXmnR2N_2.jpg,"April 2019 rebellion 📢✌️✊💚
.
#xrlondon #staypositive #staypositive #extinctionrebellionuk #positive #afcwimbledon
#xr #extinctionrebellionlondon #extinction #rebellion #chilling #climatechange #climateaction #orpington #hope # #ourplanet  #youthstrike #youngprotest #youthstrike4climate #climatechange  #gretathunberg #parliament  #savetheworld🌎 #savetheplanet #environment  #activate  #ecofriendly",0.305592752,FALSE
,,lrc,https://www.instagram.com/p/B_KIR8JnghK/,carousel,kirk_protest_london,kirk_protest_london.jpg,B_KIR8JnghK_0.jpg;B_KIR8JnghK_1.jpg;B_KIR8JnghK_2.jpg;B_KIR8JnghK_3.jpg,"April 2019 rebellion on Waterloo bridge 📢✌️✊💚
.
#xrlondon #staypositive #staypositive #extinctionrebellionuk #positive #afcwimbledon
#xr #extinctionrebellionlondon #extinction #rebellion #chilling #climatechange #climateaction #orpington #hope # #ourplanet  #youthstrike #youngprotest #youthstrike4climate #climatechange  #gretathunberg #parliament  #savetheworld🌎 #savetheplanet #environment  #activate  #ecofriendly",0.113975067,FALSE
,,lrc,https://www.instagram.com/p/B0ChgJ5nJg4/,image,xrwsm,xrwsm.jpg,B0ChgJ5nJg4_0.jpg,"Sea levels rising and people are dying. 
#sealevelsrisingsoarewe 
#ActNow 
#bristolcitycouncil 
#ClimateEmergency 
#rebelforlife",0.991616097,FALSE
,,smc,https://www.instagram.com/p/B0YXHUsHXP2/,image,fridaysforfuturelondon,fridaysforfuturelondon.jpg,B0YXHUsHXP2_0.jpg,today! we were also joined by people from @fridaysforfuturegraz ♻️🌍 #fridaysforfuture #fridaysforfuturelondon #climatejustice,0.117977009,FALSE
,,lrc,https://www.instagram.com/p/B1i7EHBnpS-/,carousel,kirk_protest_london,kirk_protest_london.jpg,B1i7EHBnpS-_0.jpg;B1i7EHBnpS-_1.jpg;B1i7EHBnpS-_2.jpg;B1i7EHBnpS-_3.jpg;B1i7EHBnpS-_4.jpg;B1i7EHBnpS-_5.jpg;B1i7EHBnpS-_6.jpg;B1i7EHBnpS-_7.jpg,"We will stand up again extraction of the rainforest and Brazil 
#thejungle #amazonforest #london #extinctionrebellionyouth #rebellion #londonprotest #protest #extinctionrebellionlondon #ecowarrior #savetheworld🌎 #ourvoice #ourplanet #recess #extinctionrebellionkids #southamerica #ourfuture #summeruprising #nextgeneration #ourchildren #greenpeaceuk #greenpeace #Greenparty",0.112195734,FALSE
,,lrc,https://www.instagram.com/p/B3Ua_ZnHl8p/,image,tararaecarey,tararaecarey.jpg,B3Ua_ZnHl8p_0.jpg,"#ExtinctionRebellion and allied movements have peacefully shut down #Westminster and are calling on the #UK government to take meaningful and decisive action on #ClimateEmergency and ecological breakdown.

#RebelForLife #humansofxr #xr #thetimeisnow #nowornever #London",0.21601995,FALSE
,,,https://www.instagram.com/p/B3Uu7IhDWn5/,video,bbchampshire,bbchampshire.jpg,B3Uu7IhDWn5_0.mp4,"Farmers are joining climate change protest group Extinction Rebellion.  They say agriculture has been unfairly criticised and want to highlight the work being done and the fact they are one of the industries worst affected by climate change.  Dagan James, a Buffalo farmer from Broughton in Hampshire, was involved in Extinction Rebellion events in April and he and other farmers came away believing not enough was being done to put the side of farmers across.",0.924835691,TRUE
,,lrc,https://www.instagram.com/p/B8p1N7UncEB/,carousel,kirk_protest_london,kirk_protest_london.jpg,B8p1N7UncEB_0.mp4;B8p1N7UncEB_1.mp4;B8p1N7UncEB_2.mp4;B8p1N7UncEB_3.mp4;B8p1N7UncEB_4.jpg;B8p1N7UncEB_5.jpg;B8p1N7UncEB_6.jpg;B8p1N7UncEB_7.jpg,"climate change got to go 📢✊
.
#extinctionrebellionuk #london#xrlondon #xr #extinctionrebellionyouth #uk #extinctionrebellion #ourfuture #ourplanet #peoplehavethepower #student #youthstrike #youngprotest #youthstrike4climate #climatechange #climatejustice #kids #Greendeal #gretathunberg #parliament #toriesout #rebellion",0.424278543,FALSE
,,lrc,https://www.instagram.com/p/B8rTsainr6R/,carousel,kirk_protest_london,kirk_protest_london.jpg,B8rTsainr6R_0.jpg;B8rTsainr6R_1.jpg;B8rTsainr6R_2.jpg,"14th of February student climate strike. 📢✊💚🌍
.
.
#extinctionrebellionuk #london#xrlondon #xr #extinctionrebellionyouth #uk #extinctionrebellion #ourfuture #ourplanet #peoplehavethepower #student #youthstrike #youngprotest #youthstrike4climate #climatechange #climatejustice #kids #Greendeal #gretathunberg #parliament #toriesout #rebellion #savetheworld🌎 #savetheplanet #environment #protest  #green #ecowarriors #ecofriendly",0.490230019,FALSE
,,smc,https://www.instagram.com/p/BuCVqwoglJf/,image,fff_england,fff_england.jpg,BuCVqwoglJf_0.jpg,"Credit to @shabbirlakha

I love this picture so much, theres so much colour and yet it's still so impactful, thank you again to everyone who attended the marches last Friday - and I hope you're ready to do it all again!

I also hope you guys realise I have enough of these photos that have been submitted to me or shared on the #fridaysforfutureUK tag to last me until the next protest (22/02/18 outside the Department of Education in London, come join us!!!!) so you certainly won't be forgetting it any time soon 😉

Share your photos with the #fridaysforfutureUK tag or dm me, you guys are what makes this account special, so you're the real stars here 🌟",0.060328268,FALSE
